,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Genre,Like or not like,Percent
16,0.00136,https://api.spotify.com/v1/audio-analysis/6sqNctd7MlJoKDOxPVCAvU,0.414,242413,0.936,6sqNctd7MlJoKDOxPVCAvU,0,2,0.369,-2.407,1,0.0758,170.229,4,https://api.spotify.com/v1/tracks/6sqNctd7MlJoKDOxPVCAvU,audio_features,spotify:track:6sqNctd7MlJoKDOxPVCAvU,0.718,2,1,0.765258223
17,0.0171,https://api.spotify.com/v1/audio-analysis/0KlahhzNb98zyN83Vwae0l,0.557,255360,0.783,0KlahhzNb98zyN83Vwae0l,0.0172,6,0.151,-4.893,0,0.234,177.008,4,https://api.spotify.com/v1/tracks/0KlahhzNb98zyN83Vwae0l,audio_features,spotify:track:0KlahhzNb98zyN83Vwae0l,0.454,2,1,0.912562203
18,0.0194,https://api.spotify.com/v1/audio-analysis/2TZ1apxMDlubCGMsOxcTbT,0.575,214560,0.913,2TZ1apxMDlubCGMsOxcTbT,3.50E-05,8,0.27,-5.029,0,0.0745,118.097,4,https://api.spotify.com/v1/tracks/2TZ1apxMDlubCGMsOxcTbT,audio_features,spotify:track:2TZ1apxMDlubCGMsOxcTbT,0.5,2,1,0.896380385
19,0.229,https://api.spotify.com/v1/audio-analysis/0J1Wfjo9H3R62yaCuuNDZX,0.547,215333,0.832,0J1Wfjo9H3R62yaCuuNDZX,0,0,0.306,-3.752,1,0.0808,78.209,4,https://api.spotify.com/v1/tracks/0J1Wfjo9H3R62yaCuuNDZX,audio_features,spotify:track:0J1Wfjo9H3R62yaCuuNDZX,0.765,2,1,0.899735696
20,0.0702,https://api.spotify.com/v1/audio-analysis/1jypmXUJgxWKWJZdDsJiXQ,0.5,179533,0.84,1jypmXUJgxWKWJZdDsJiXQ,0,4,0.103,-4.692,1,0.049,112.9,4,https://api.spotify.com/v1/tracks/1jypmXUJgxWKWJZdDsJiXQ,audio_features,spotify:track:1jypmXUJgxWKWJZdDsJiXQ,0.616,2,1,0.83689057
21,0.0698,https://api.spotify.com/v1/audio-analysis/7qhUtJDCu1tYrdkIMPVYRc,0.627,217667,0.837,7qhUtJDCu1tYrdkIMPVYRc,0,4,0.23,-4.546,1,0.0439,120.848,4,https://api.spotify.com/v1/tracks/7qhUtJDCu1tYrdkIMPVYRc,audio_features,spotify:track:7qhUtJDCu1tYrdkIMPVYRc,0.358,2,1,0.718417141
22,0.00275,https://api.spotify.com/v1/audio-analysis/1FMHNVeJ9s1x1l1WlaRs2I,0.335,244827,0.676,1FMHNVeJ9s1x1l1WlaRs2I,0,0,0.141,-4.68,1,0.0301,175.845,4,https://api.spotify.com/v1/tracks/1FMHNVeJ9s1x1l1WlaRs2I,audio_features,spotify:track:1FMHNVeJ9s1x1l1WlaRs2I,0.325,2,1,0.859255283
23,0.0304,https://api.spotify.com/v1/audio-analysis/7Bz4NRXHoQF1OdhvxFDbCt,0.586,262253,0.684,7Bz4NRXHoQF1OdhvxFDbCt,6.78E-06,0,0.193,-6.673,1,0.0285,83.531,4,https://api.spotify.com/v1/tracks/7Bz4NRXHoQF1OdhvxFDbCt,audio_features,spotify:track:7Bz4NRXHoQF1OdhvxFDbCt,0.783,2,1,0.866446534
24,0.0226,https://api.spotify.com/v1/audio-analysis/36UVZPoK8a1Oxh13cY8kOp,0.64,244000,0.884,36UVZPoK8a1Oxh13cY8kOp,0,6,0.187,-2.609,1,0.0428,124.968,4,https://api.spotify.com/v1/tracks/36UVZPoK8a1Oxh13cY8kOp,audio_features,spotify:track:36UVZPoK8a1Oxh13cY8kOp,0.56,2,1,0.939375204
25,0.00349,https://api.spotify.com/v1/audio-analysis/19Js5ypV6JKn4DMExHQbGc,0.728,193043,0.801,19Js5ypV6JKn4DMExHQbGc,0.000195,4,0.0907,-3.636,1,0.0752,119.989,4,https://api.spotify.com/v1/tracks/19Js5ypV6JKn4DMExHQbGc,audio_features,spotify:track:19Js5ypV6JKn4DMExHQbGc,0.812,2,1,0.773152858
26,0.0021,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,0.774,197987,0.75,27L8sESb3KR79asDUBu8nW,1.85E-05,11,0.0808,-4.927,0,0.0413,118.015,4,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,audio_features,spotify:track:27L8sESb3KR79asDUBu8nW,0.901,2,1,0.744725214
27,0.183,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,0.475,153467,0.432,6ORqU0bHbVCRjXm9AjyHyZ,0,7,0.161,-7.844,1,0.0302,94.605,4,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,audio_features,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0.652,2,1,0.973518095
28,0.023,https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm,0.546,285653,0.814,3ZffCQKLFLUvYM59XKLbVm,0,7,0.0972,-5.146,1,0.0314,104.98,4,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,audio_features,spotify:track:3ZffCQKLFLUvYM59XKLbVm,0.133,2,1,0.777905474
29,0.000659,https://api.spotify.com/v1/audio-analysis/0MsrWnxQZxPAcov7c74sSo,0.29,493400,0.827,0MsrWnxQZxPAcov7c74sSo,2.55E-06,8,0.301,-3.451,1,0.0362,167.086,4,https://api.spotify.com/v1/tracks/0MsrWnxQZxPAcov7c74sSo,audio_features,spotify:track:0MsrWnxQZxPAcov7c74sSo,0.455,2,1,0.775523441
30,0.543,https://api.spotify.com/v1/audio-analysis/5C0LFQARavkPpn7JgA4sLk,0.82,253250,0.452,5C0LFQARavkPpn7JgA4sLk,0.00294,1,0.0701,-9.796,1,0.0348,117.401,4,https://api.spotify.com/v1/tracks/5C0LFQARavkPpn7JgA4sLk,audio_features,spotify:track:5C0LFQARavkPpn7JgA4sLk,0.733,2,1,0.824437477
31,0.869,https://api.spotify.com/v1/audio-analysis/1C0vXECyJHUeqOo2Etvrr2,0.204,262533,0.265,1C0vXECyJHUeqOo2Etvrr2,0,9,0.134,-9.153,1,0.0323,71.157,4,https://api.spotify.com/v1/tracks/1C0vXECyJHUeqOo2Etvrr2,audio_features,spotify:track:1C0vXECyJHUeqOo2Etvrr2,0.106,2,1,0.718986074
32,0.402,https://api.spotify.com/v1/audio-analysis/4u26EevCNXMhlvE1xFBJwX,0.594,222773,0.502,4u26EevCNXMhlvE1xFBJwX,0,4,0.287,-6.564,1,0.0281,130.674,4,https://api.spotify.com/v1/tracks/4u26EevCNXMhlvE1xFBJwX,audio_features,spotify:track:4u26EevCNXMhlvE1xFBJwX,0.31,2,1,0.786076249
33,0.257,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,0.671,295893,0.373,2374M0fQpWi3dLnB54qaLX,7.95E-05,9,0.0481,-18.064,1,0.0323,92.717,4,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,audio_features,spotify:track:2374M0fQpWi3dLnB54qaLX,0.732,2,1,0.750193253
34,0.257,https://api.spotify.com/v1/audio-analysis/5ehcf6UL1TkwozB386cRAp,0.494,249093,0.805,5ehcf6UL1TkwozB386cRAp,0,4,0.356,-7.087,1,0.0421,119.027,4,https://api.spotify.com/v1/tracks/5ehcf6UL1TkwozB386cRAp,audio_features,spotify:track:5ehcf6UL1TkwozB386cRAp,0.472,2,1,0.75907617
35,0.23,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,0.499,175200,0.73,3LlAyCYU26dvFZBDUIMb7a,0.00018,3,0.378,-2.831,1,0.0367,90.058,4,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,audio_features,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.339,2,1,0.791209122
36,0.126,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,0.478,186813,0.799,4G8gkOterJn0Ywt6uhqbhp,0.000106,9,0.76,-3.614,1,0.0638,136.268,4,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,audio_features,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.201,2,1,0.766337224
37,0.02,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,0.378,250627,0.638,7a86XRg84qjasly9f6bPSD,7.66E-05,10,0.0849,-5.576,1,0.075,184.086,4,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,audio_features,spotify:track:7a86XRg84qjasly9f6bPSD,0.762,2,1,0.724435903
38,0.0178,https://api.spotify.com/v1/audio-analysis/6t6oULCRS6hnI7rm0h5gwl,0.672,277040,0.738,6t6oULCRS6hnI7rm0h5gwl,6.75E-05,0,0.0927,-7.045,1,0.0506,107.938,4,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,audio_features,spotify:track:6t6oULCRS6hnI7rm0h5gwl,0.401,2,1,0.726698008
0,0.00725,https://api.spotify.com/v1/audio-analysis/0J69x3mqm7U6tBPKsjpsWR,0.465,182827,0.896,0J69x3mqm7U6tBPKsjpsWR,0,2,0.206,-3.126,1,0.0795,181.014,4,https://api.spotify.com/v1/tracks/0J69x3mqm7U6tBPKsjpsWR,audio_features,spotify:track:0J69x3mqm7U6tBPKsjpsWR,0.588,2,-1,0.037929601
1,0.00898,https://api.spotify.com/v1/audio-analysis/2TfSHkHiFO4gRztVIkggkE,0.499,229093,0.824,2TfSHkHiFO4gRztVIkggkE,0,7,0.163,-4.741,1,0.0794,161.977,4,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.692,2,-1,0.573993953
2,0.00666,https://api.spotify.com/v1/audio-analysis/0BRHnOFm6sjxN1i9LJrUDu,0.494,175093,0.939,0BRHnOFm6sjxN1i9LJrUDu,0,1,0.139,-3.127,1,0.126,177.751,4,https://api.spotify.com/v1/tracks/0BRHnOFm6sjxN1i9LJrUDu,audio_features,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,0.89,2,-1,0.462167139
3,0.0938,https://api.spotify.com/v1/audio-analysis/4bPQs0PHn4xbipzdPfn6du,0.567,187613,0.795,4bPQs0PHn4xbipzdPfn6du,0,9,0.114,-4.985,0,0.134,170.06,4,https://api.spotify.com/v1/tracks/4bPQs0PHn4xbipzdPfn6du,audio_features,spotify:track:4bPQs0PHn4xbipzdPfn6du,0.596,2,-1,0.663676418
4,0.000665,https://api.spotify.com/v1/audio-analysis/4wzjNqjKAKDU82e8uMhzmr,0.545,192000,0.932,4wzjNqjKAKDU82e8uMhzmr,0,7,0.127,-2.189,0,0.0399,92.956,4,https://api.spotify.com/v1/tracks/4wzjNqjKAKDU82e8uMhzmr,audio_features,spotify:track:4wzjNqjKAKDU82e8uMhzmr,0.472,2,-1,0.562332058
5,0.0424,https://api.spotify.com/v1/audio-analysis/3mcG2NI5G5vhrQtRda1YnA,0.629,168253,0.897,3mcG2NI5G5vhrQtRda1YnA,0,2,0.263,-3.401,1,0.0483,161.944,4,https://api.spotify.com/v1/tracks/3mcG2NI5G5vhrQtRda1YnA,audio_features,spotify:track:3mcG2NI5G5vhrQtRda1YnA,0.931,2,-1,0.302924684
6,0.000178,https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL,0.577,207093,0.838,1HNE2PX70ztbEl6MLxrpNL,1.07E-06,9,0.0588,-5.793,1,0.0586,116.048,4,https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL,audio_features,spotify:track:1HNE2PX70ztbEl6MLxrpNL,0.775,2,-1,0.454471727
7,0.0122,https://api.spotify.com/v1/audio-analysis/7yCPwWs66K8Ba5lFuU2bcx,0.439,168000,0.891,7yCPwWs66K8Ba5lFuU2bcx,0,0,0.547,-4.764,1,0.057,148.599,4,https://api.spotify.com/v1/tracks/7yCPwWs66K8Ba5lFuU2bcx,audio_features,spotify:track:7yCPwWs66K8Ba5lFuU2bcx,0.689,2,-1,0.511595467
8,0.00107,https://api.spotify.com/v1/audio-analysis/1hIupFeRu3nmMcjbjxPnMc,0.527,198333,0.834,1hIupFeRu3nmMcjbjxPnMc,0.000102,1,0.0993,-5.531,1,0.0447,110.065,4,https://api.spotify.com/v1/tracks/1hIupFeRu3nmMcjbjxPnMc,audio_features,spotify:track:1hIupFeRu3nmMcjbjxPnMc,0.443,2,-1,0.249125539
9,0.000289,https://api.spotify.com/v1/audio-analysis/5wQnmLuC1W7ATsArWACrgW,0.217,311107,0.905,5wQnmLuC1W7ATsArWACrgW,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW,audio_features,spotify:track:5wQnmLuC1W7ATsArWACrgW,0.225,2,-1,0.333315276
10,0.0506,https://api.spotify.com/v1/audio-analysis/7j31rVgGX9Q2blT92VBEA0,0.463,161920,0.857,7j31rVgGX9Q2blT92VBEA0,0,4,0.184,-3.063,1,0.0632,111.647,4,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,audio_features,spotify:track:7j31rVgGX9Q2blT92VBEA0,0.839,2,-1,0.308480848
11,0.000406,https://api.spotify.com/v1/audio-analysis/38z6jaLE0F13dxv28n3wlq,0.524,233893,0.744,38z6jaLE0F13dxv28n3wlq,0,1,0.282,-5.477,1,0.0444,139.588,3,https://api.spotify.com/v1/tracks/38z6jaLE0F13dxv28n3wlq,audio_features,spotify:track:38z6jaLE0F13dxv28n3wlq,0.645,2,-1,0.686373221
12,0.00143,https://api.spotify.com/v1/audio-analysis/5KCPpfk3qfw2Gd9DRMCq8Y,0.395,197640,0.917,5KCPpfk3qfw2Gd9DRMCq8Y,0,8,0.261,-6.86,1,0.133,169.088,4,https://api.spotify.com/v1/tracks/5KCPpfk3qfw2Gd9DRMCq8Y,audio_features,spotify:track:5KCPpfk3qfw2Gd9DRMCq8Y,0.551,2,-1,0.097848509
13,0.017,https://api.spotify.com/v1/audio-analysis/5JZcX7TTLx4l0xFIXJ3DBt,0.403,148573,0.956,5JZcX7TTLx4l0xFIXJ3DBt,7.09E-05,6,0.0893,-7.376,1,0.0732,157.706,4,https://api.spotify.com/v1/tracks/5JZcX7TTLx4l0xFIXJ3DBt,audio_features,spotify:track:5JZcX7TTLx4l0xFIXJ3DBt,0.563,2,-1,0.215133069
14,0.00136,https://api.spotify.com/v1/audio-analysis/1oTo3ijRbaDAtrjJrGAPSw,0.659,227240,0.778,1oTo3ijRbaDAtrjJrGAPSw,6.79E-06,11,0.0841,-6.423,1,0.0379,110.022,4,https://api.spotify.com/v1/tracks/1oTo3ijRbaDAtrjJrGAPSw,audio_features,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.631,2,-1,0.363475563
15,0.000642,https://api.spotify.com/v1/audio-analysis/1fJFuvU2ldmeAm5nFIHcPP,0.582,171533,0.914,1fJFuvU2ldmeAm5nFIHcPP,0,0,0.187,-4.269,1,0.0415,95.597,4,https://api.spotify.com/v1/tracks/1fJFuvU2ldmeAm5nFIHcPP,audio_features,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,0.846,2,-1,0.170677286
